description,answer
兔子的平均壽命幾年？,5~12年
兔子正常體溫,38.5～41.5度
兔子的心跳速度,180～250次/每分鐘　　
公兔性成熟,22週
母兔的懷孕期,平均為28～31天
母兔平均產子數量,4～12隻，體型越小的兔子每胎產仔數量越少
幼兔睜開眼睛,約7～10天
幼兔最佳斷奶年齡,8週
兔子適合的環境溫度,18～25度C
適合的環境溼度,40～65％
兔子是白天還是晚上覓食,兔子是草食性晨昏覓食的夜行性動物，習慣清晨與傍晚進食
兔子肺活量大嗎？,兔子肺活量小，氣溫高及精神緊張時，鼻子會動得很厲害、呼吸急促。
兔子有領域性嗎？,有。兔子領域性強，會在自己的地盤上做記號
兔子會吐嗎？,不會。兔子無法將胃裡的東西吐出來，所以吃入的東西無法排泄出去就會堵塞腸道，嚴重的 　必須動手術取出異物。
兔子怕熱嗎？,"兔子怕熱，因缺乏汗腺，只有嘴邊、鼠蹊部有少數汗腺，且被毛濃密，無法透過皮膚
　散熱，主要透過耳朵及呼吸與排泄調節體溫，當氣溫達30度以上，就會增加呼吸次
　數。成兔怕熱不怕冷，幼兔因體溫調節功能不全，需特別注意保暖禦寒。
"
兔子會吃便便嗎？,"會。兔兔會吃自己的便便，因兔子有很大的螺旋形盲腸，含有豐富的腸道菌叢，可製造兔
　兔必須的營養素與維他命，排出的軟質糞便，稱為盲腸便或夜糞，含有蛋白質與維他
　命B群及腸道益菌，所以兔兔會吃，這是必須且正常的行為喔！請勿制止！"
兔子不喝水？,會喝。兔子與人和其他動物一樣：沒有空氣、食物、水三大要素是無法生存的，飲水幫助兔子體內進行代謝，只不過兔子排尿機制屬濃縮性，所以兔子需要的水比其他動物少，並非是兔子不喝水！ 
兔子喝水會死？,不會。水是兔子的必需品，正常的飲用乾淨的水並不會致命！應是喝到不乾淨的水才拉肚子甚至因發炎腹瀉而陣亡！請給兔子喝乾淨的水，例：煮過的開水（不是熱水喔）、純水、蒸餾水、礦泉水，勿給兔子喝自來水，要保持水壺或水盆和水的乾淨，最好每天清洗並換水！ 
兔子喝水會長很大？,不會。一般惡質商人為了賣“假迷你兔”故意不給兔子喝水，兔子沒水喝會因口渴而不吃飼料，不吃不喝的兔子當然長得慢、長得很迷你，事實上根本營養不良，等你買回家給兔子喝水，兔子因為過度口渴而飲水過量，然後一命嗚呼，大家就認定是要限制兔子喝水！其實，正確的飼養之下，兔子自己會控制，不渴也不會去猛喝水！而且，因季節與食性不同會有不同的飲水量，例如：冬天喝得比夏天少（夏天氣溫高、燥熱易渴，人類不也是如此！）飼料吃得多，水也就喝多，因為飼料乾，吃多當然口渴，渴了當然喝水！ 
兔子不好養？,不是。兔子要求不多，一個空間、每天給予正確而適當的食物和水，而且兔子也比貓狗安靜，並不是不好養的寵物，重要的是飼主的飼養方式是否正確？ 
兔子短壽容易死？,不是。在正確的飼養之下，兔子平均壽命5～12年，只是，越小型的兔子平均壽命較大型兔短。而多數人喜歡養小型兔！兔子的疾病並不比貓狗多，只要飼主飼養方法正確應該都不至於早夭，除非您向不肖商人買到未斷奶的仔兔！ 
兔子不能洗澡？,可以，但盡量避免。兔子可以洗澡！否則萬一髒了總不能置之不理或把毛剃光光吧？不過，三個月以內的幼兔以及寒冷的天氣應避免洗澡，因為怕兔子失溫致死！
兔子很臭？,不會。兔子非常愛乾淨，正常的情形下兔大便是小顆粒狀也沒有臭味，會有異味的是兔尿，不過飼主如果能餵食有除尿臭的飼料是可以改善的、並且兔籠使用墊料及教育兔子使用兔廁，會發現清理兔籠很輕鬆、且不是大家所想像的臭！
